x,fit,Maximizacion,Minimizacion,Factibilidad,a1,a2,epsilonConstraint
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
"[9, 0, 25, 4, 30]",2754,2754,3764,True,2,1,4000
