x,fit,Maximizacion,Minimizacion,Factibilidad,a1,a2,epsilonConstraint,iteracion
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,0
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1,4500,1
