x,fit,Maximizacion,Minimizacion,Factibilidad,a1,a2
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
"[15, 0, 25, 0, 30]",2930,2930,4380,True,1,1
