a1,a2,GP,fit,x
2.0,1.0,0.25,3174.0,"[15, 0, 25, 4, 30]"
2.0,1.0,0.25,3174.0,"[15, 0, 25, 4, 30]"
2.0,1.0,0.25,3174.0,"[15, 0, 25, 4, 30]"
2.0,1.0,0.25,3174.0,"[15, 0, 25, 4, 30]"
1.0,1.0,0.25,2930.0,"[15, 0, 25, 0, 30]"
1.0,1.0,0.25,2930.0,"[15, 0, 25, 0, 30]"
1.0,1.0,0.25,2930.0,"[15, 0, 25, 0, 30]"
1.0,1.0,0.25,2930.0,"[15, 0, 25, 0, 30]"
0.5,1.0,0.25,3174.0,"[15, 0, 25, 4, 30]"
0.5,1.0,0.25,3174.0,"[15, 0, 25, 4, 30]"
0.5,1.0,0.25,3174.0,"[15, 0, 25, 4, 30]"
0.5,1.0,0.25,3174.0,"[15, 0, 25, 4, 30]"
2.0,2.0,0.25,3133.6862139714463,"[10.29449214890473, 9.40477334683033, 23.29239112015179, 0.8888594920368442, 16.114162093557987]"
2.0,2.0,0.25,2930.0,"[15, 0, 25, 0, 30]"
2.0,2.0,0.25,2930.0,"[15, 0, 25, 0, 30]"
2.0,2.0,0.25,2930.0,"[15, 0, 25, 0, 30]"
1.0,0.5,0.25,3174.0,"[15, 0, 25, 4, 30]"
1.0,0.5,0.25,3174.0,"[15, 0, 25, 4, 30]"
1.0,0.5,0.25,3174.0,"[15, 0, 25, 4, 30]"
1.0,0.5,0.25,3174.0,"[15, 0, 25, 4, 30]"
